date,gap,task,deliverable
2026-06-27,客户成功,围绕「客户成功」完成1个30分钟学习产物：整理3条岗位要求、1个案例话术、1个作品集证明点。,learning_2026-06-27_客户成功.md
2026-06-27,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-27_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-28,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-28_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-29,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-29_customer_success.md
2026-06-30,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-30_customer_success.md
2026-06-30,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-30_customer_success.md
2026-06-30,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-30_customer_success.md
2026-06-30,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-06-30_customer_success.md
2026-07-01,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-01_customer_success.md
2026-07-01,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-01_customer_success.md
2026-07-01,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-01_customer_success.md
2026-07-01,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-01_customer_success.md
2026-07-02,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-02_customer_success.md
2026-07-02,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-02_customer_success.md
2026-07-02,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-02_customer_success.md
2026-07-02,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-02_customer_success.md
2026-07-03,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-03_customer_success.md
2026-07-03,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-03_customer_success.md
2026-07-04,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-04_customer_success.md
2026-07-04,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-04_customer_success.md
2026-07-04,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-04_customer_success.md
2026-07-04,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-04_customer_success.md
2026-07-04,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-04_customer_success.md
2026-07-05,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-05_customer_success.md
2026-07-05,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-05_customer_success.md
2026-07-05,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-05_customer_success.md
2026-07-06,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-06_customer_success.md
2026-07-06,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-06_customer_success.md
2026-07-07,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-07_customer_success.md
2026-07-07,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-07_customer_success.md
2026-07-07,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-07_customer_success.md
2026-07-08,customer success,"Create one proof artifact for 'customer success': 3 job signals, 1 interview story, and 1 portfolio proof point.",learning_2026-07-08_customer_success.md
